id,order,sample,polarity,role,resolution_px,shots_per_pixel,sputter_frames,layer_marker,layer_marker_sense,yield_channel,stopped_by,source_excursion,uniformity,recorded_decision,recorded_label
T1_recon,1,S1,neg,survey,64,4,45,WO3-,high,16O-,scan_limit,false,,accept,PASS-tune
T2_tune,2,S1,neg,reference,64,4,11,WO3-,high,16O-,dynamic,false,,accept,PASS-converged-NEGREF
S1_neg_r1,3,S1,neg,measurement,64,4,11,WO3-,high,16O-,dynamic,false,0.86,accept,PASS
S1_neg_r2,4,S1,neg,measurement,64,4,11,WO3-,high,16O-,dynamic,false,0.84,accept_with_flag,PASS-drift-flagged
S1_neg_r3,5,S1,neg,measurement,64,4,11,WO3-,high,16O-,dynamic,true,,repeat,INVALID-LMIG-dropout
S1_neg_r3redo,6,S1,neg,measurement,64,4,11,WO3-,high,16O-,dynamic,false,,escalate,INVALID-LMIG-emission-low
S1_neg_r3redo2,7,S1,neg,measurement,64,4,11,WO3-,high,16O-,dynamic,false,0.85,accept,PASS-S1rep3-LMIG-restored
S2_neg_r1,8,S2,neg,measurement,64,4,11,WO3-,high,16O-,dynamic,false,,retune_and_repeat,INVALID-band-48-frames-11to10
S2_neg_r1redo,9,S2,neg,measurement,64,4,10,WO3-,high,16O-,dynamic,false,0.83,accept,PASS-S2rep1
S2_neg_r2,10,S2,neg,measurement,64,4,10,WO3-,high,16O-,dynamic,false,0.80,accept,PASS-S2rep2
S2_neg_r3,11,S2,neg,measurement,64,4,10,WO3-,high,16O-,dynamic,false,0.81,accept,PASS-S2rep3
anchor_neg_mid,12,S1,neg,measurement,64,4,11,WO3-,high,16O-,dynamic,false,0.80,accept,PASS-ANCHOR-NEG-MID
S3_neg_r1,13,S3,neg,measurement,64,4,11,WO3-,high,16O-,dynamic,false,0.94,retune_and_repeat,INVALID-band-66-frames-11to13
S3_neg_r1redo,14,S3,neg,measurement,64,4,13,WO3-,high,16O-,dynamic,false,0.88,accept,PASS-S3rep1
S3_neg_r2,15,S3,neg,measurement,64,4,13,WO3-,high,16O-,dynamic,false,0.89,accept,PASS-S3rep2
S3_neg_r3,16,S3,neg,measurement,64,4,13,WO3-,high,16O-,dynamic,false,0.90,accept,PASS-S3rep3
S4_neg_r1,17,S4,neg,measurement,64,4,11,WO3-,high,16O-,dynamic,false,0.84,retune_and_repeat,INVALID-band-45-frames-11to9
S4_neg_r1redo,18,S4,neg,measurement,64,4,9,WO3-,high,16O-,dynamic,false,0.85,accept,PASS-S4rep1
S4_neg_r2,19,S4,neg,measurement,64,4,9,WO3-,high,16O-,dynamic,false,0.83,accept,PASS-S4rep2
S4_neg_r3,20,S4,neg,measurement,64,4,9,WO3-,high,16O-,dynamic,false,0.86,accept,PASS-S4rep3-NEGBLOCK-COMPLETE
pos_ref,21,S1,pos,reference,64,4,11,SiCs+,low,16OCs2+,scan_limit,false,0.93,accept,PASS-POSREF-thresh400-18OCs+excluded
S4_pos_r1,22,S4,pos,measurement,64,4,9,SiCs+,low,16OCs2+,dynamic,false,0.90,accept,PASS-S4pos1-phaseA-Cs+50032
S4_pos_r2,23,S4,pos,measurement,64,4,9,SiCs+,low,16OCs2+,dynamic,false,0.90,accept,PASS-S4pos2-phaseA-Cs+46739
S4_pos_r3,24,S4,pos,measurement,64,4,9,SiCs+,low,16OCs2+,dynamic,false,0.90,accept,PASS-S4pos3-phaseA-Cs+46178
S3_pos_r1,25,S3,pos,measurement,64,4,13,SiCs+,low,16OCs2+,dynamic,false,0.90,accept,PASS-S3pos1-phaseA-Cs+46397
S3_pos_r2,26,S3,pos,measurement,64,4,13,SiCs+,low,16OCs2+,dynamic,false,0.90,accept,PASS-S3pos2-phaseA-Cs+46433
S3_pos_r3,27,S3,pos,measurement,64,4,13,SiCs+,low,16OCs2+,dynamic,false,0.88,accept,PASS-S3pos3-phaseA-Cs+52299
anchor_pos_mid,28,S1,pos,measurement,64,4,11,SiCs+,low,16OCs2+,dynamic,false,0.93,accept,PASS-ANCHOR-POS-MID-phaseA-Cs+51264
S2_pos_r1,29,S2,pos,measurement,64,4,10,SiCs+,low,16OCs2+,dynamic,false,0.91,accept,PASS-S2pos1-phaseA-Cs+57427-rate4.24-FLAG
S2_pos_r2,30,S2,pos,measurement,64,4,10,SiCs+,low,16OCs2+,dynamic,false,0.89,accept,PASS-S2pos2-phaseA-Cs+48195
S2_pos_r3,31,S2,pos,measurement,64,4,10,SiCs+,low,16OCs2+,dynamic,false,0.89,accept,PASS-S2pos3-phaseA-Cs+47129
S1_pos_r1,32,S1,pos,measurement,64,4,11,SiCs+,low,16OCs2+,dynamic,false,0.90,accept,PASS-S1pos1-phaseA-Cs+46054
S1_pos_r2,33,S1,pos,measurement,64,4,11,SiCs+,low,16OCs2+,dynamic,false,0.91,accept,PASS-S1pos2-phaseA-Cs+44574
S1_pos_r3,34,S1,pos,measurement,64,4,11,SiCs+,low,16OCs2+,dynamic,false,0.89,accept,PASS-S1pos3-POSBLOCK-COMPLETE
sentinel_neg,35,S1,neg,measurement,64,4,11,WO3-,high,16O-,dynamic,false,0.88,accept,PASS-DRIFT-SENTINEL
