# depth_nm	scan	16O-	18O-	Si-	WO3-	f18 = 18O-/(16O-+18O-)	O_over_W = (16O-+18O-)/WO3-	16O-_over_WO3-
0	0	584.623	1.00003	25.0191	6.0011	0.00170764	97.586	97.4193
0.643958	1	2099.74	1.00003	144.654	0	0.000476036	0	0
1.28792	2	2593.13	4.00049	930.422	0	0.00154035	0	0
1.93187	3	2091.09	5.00076	1728.56	0	0.00238576	0	0
2.57583	4	1458.39	5.00076	2315.53	0	0.00341725	0	0
3.21979	5	1017.36	4.00049	2522.6	0	0.00391681	0	0
3.86375	6	800.527	2.00012	2665.42	0	0.00249228	0	0
4.5077	7	649.916	5.00107	2705.33	0	0.00763619	0	0
5.15166	8	501.756	0	2802.19	0	0	0	0
5.79562	9	444.126	6.0011	2731.26	0	0.013332	0	0
6.43958	10	348.727	1.00003	2844.83	0	0.00285946	0	0
7.08353	11	336.493	1.00003	2779.51	0	0.00296312	0	0
7.72749	12	304.856	2.00012	2757.44	0	0.00651812	0	0
8.37145	13	281.507	1.00003	2720.53	0	0.00353985	0	0
9.01541	14	245.835	1.00003	2674.15	0	0.00405141	0	0
9.65936	15	269.233	2.00012	2786.93	0	0.00737419	0	0
10.3033	16	225.545	1.00003	2779.33	0	0.00441426	0	0
10.9473	17	260.133	0	2676.43	0	0	0	0
11.5912	18	208.357	1.00003	2674.22	0	0.00477667	0	0
12.2352	19	242.835	0	2675.21	0	0	0	0
12.8792	20	234.73	0	2751.85	0	0	0	0
13.5231	21	207.306	0	2768.38	0	0	0	0
14.1671	22	190.122	0	2629.15	0	0	0	0
14.811	23	214.449	0	2730.81	0	0	0	0
15.455	24	208.344	0	2844.73	0	0	0	0
16.0989	25	213.384	0	2692.55	0	0	0	0
16.7429	26	246.926	1.00003	2674.21	0	0.00403358	0	0
17.3869	27	206.319	3.00027	2806.33	0	0.0143335	0	0
18.0308	28	206.331	1.00003	2841.91	0	0.00482334	0	0
18.6748	29	220.504	1.00003	2624.31	0	0.00451473	0	0
19.3187	30	220.517	0	2636.51	1.00003	0	220.511	220.511
19.9627	31	241.805	1.00003	2706.54	1.00003	0.00411866	242.798	241.798
20.6066	32	202.256	0	2631.45	0	0	0	0
21.2506	33	223.518	0	2747.22	0	0	0	0
21.8946	34	190.122	2.00012	2740.2	0	0.0104107	0	0
22.5385	35	219.49	0	2775.39	0	0	0	0
23.1825	36	210.37	0	2655.82	0	0	0	0
23.8264	37	249.942	0	2732.68	0	0	0	0
24.4704	38	199.255	0	2712.99	0	0	0	0
25.1143	39	217.45	0	2757.15	0	0	0	0
25.7583	40	216.476	0	2559.04	1.00003	0	216.47	216.47
26.4023	41	250.973	0	2142.02	3.00027	0	83.6501	83.6501
27.0462	42	349.749	2.00012	1603.46	4.00049	0.00568622	87.9265	87.4265
27.6902	43	746.949	5.00076	1107.17	21.0135	0.00665039	35.7842	35.5462
28.3341	44	1871.52	7.0015	927.244	60.125	0.00372713	31.2436	31.1272
28.9781	45	4186.96	21.0135	862.353	283.542	0.00499373	14.8407	14.7666
29.6221	46	7233.64	30.0275	590.625	1227.56	0.00413393	5.91717	5.89271
