# depth_nm	scan	16OCs2+	18OCs2+	SiCs+	WCs+	f18 = 18OCs2+/(16OCs2++18OCs2+)	O_over_W = (16OCs2++18OCs2+)/WCs+	16OCs2+_over_WCs+
0	0	53.0984	26.0424	344.787	40.074	0.329064	1.97487	1.32501
0.633988	1	1101.34	4.00024	1538.71	2.00006	0.00361903	552.651	550.651
1.26798	2	1677.2	5.00038	1701.73	1.00002	0.00297252	1682.17	1677.17
1.90196	3	1266.15	2.00006	1453.96	0	0.00157715	0	0
2.53595	4	843.771	1.00002	1391.16	0	0.00118377	0	0
3.16994	5	595.376	1.00002	1360.91	0	0.00167682	0	0
3.80393	6	485.58	2.00006	1376.55	0	0.00410201	0	0
4.43791	7	359.992	1.00002	1393.2	0	0.00277019	0	0
5.0719	8	290.282	0	1365.12	0	0	0	0
5.70589	9	249.951	1.00002	1367.17	0	0.0039849	0	0
6.33988	10	189.547	0	1364	0	0	0	0
6.97386	11	187.536	0	1326.49	0	0	0	0
7.60785	12	154.363	2.00006	1346.32	0	0.0127911	0	0
8.24184	13	141.304	1.00002	1411.03	0	0.0070273	0	0
8.87583	14	111.188	0	1350.49	0	0	0	0
9.50981	15	151.349	1.00002	1367.17	0	0.00656398	0	0
10.1438	16	144.317	0	1368.21	0	0	0	0
10.7778	17	110.185	1.00002	1309.92	0	0.00899415	0	0
11.4118	18	133.271	1.00002	1397.51	0	0.00744776	0	0
12.0458	19	107.175	0	1338.03	0	0	0	0
12.6798	20	100.153	0	1402.64	0	0	0	0
13.3137	21	104.165	0	1400.51	0	0	0	0
13.9477	22	115.202	0	1399.46	0	0	0	0
14.5817	23	98.1468	1.00002	1408.9	0	0.0100862	0	0
15.2157	24	109.182	1.00002	1301.59	0	0.00907606	0	0
15.8497	25	100.153	1.00002	1399.51	0	0.00988617	0	0
16.4837	26	120.22	2.00006	1324.57	0	0.0163644	0	0
17.1177	27	116.206	0	1444.5	0	0	0	0
17.7517	28	101.156	0	1387.07	0	0	0	0
18.3856	29	100.153	0	1467.46	0	0	0	0
19.0196	30	95.138	1.00002	1394.38	0	0.0104019	0	0
19.6536	31	105.169	0	1391.16	0	0	0	0
20.2876	32	128.255	0	1490.57	0	0	0	0
20.9216	33	134.275	0	1442.37	0	0	0	0
21.5556	34	114.199	0	1363.13	0	0	0	0
22.1896	35	102.159	0	1353.74	0	0	0	0
22.8236	36	116.206	1.00002	1399.55	0	0.00853213	0	0
23.4575	37	114.199	0	1397.42	0	0	0	0
24.0915	38	121.224	1.00002	1373.43	0	0.00818183	0	0
24.7255	39	121.224	1.00002	1404.86	0	0.00818183	0	0
25.3595	40	128.251	0	1601.56	0	0	0	0
25.9935	41	155.368	0	2034.15	0	0	0	0
