# depth_nm	scan	16O-	18O-	Si-	WO3-	f18 = 18O-/(16O-+18O-)	O_over_W = (16O-+18O-)/WO3-	16O-_over_WO3-
0	0	957.92	2.00012	34.0353	8.00195	0.00208363	119.961	119.711
0.591044	1	2555.51	4.00049	153.719	2.00012	0.00156299	1279.67	1277.67
1.18209	2	3435.36	2.00012	889.34	0	0.000581877	0	0
1.77313	3	2884.18	8.00195	2006.67	0	0.00276675	0	0
2.36418	4	2085.69	4.00049	2653.94	1.00009	0.0019144	2089.5	2085.5
2.95522	5	1552.16	2.00012	3113.91	0	0.00128695	0	0
3.54626	6	1183.5	3.00027	3282.89	1.00003	0.00252867	1186.46	1183.46
4.13731	7	939.074	1.00003	3216.07	1.00003	0.00106378	940.045	939.045
4.72835	8	714.555	4.00049	3262.8	1.00003	0.0055674	718.534	714.534
5.3194	9	577.151	0	3320.21	0	0	0	0
5.91044	10	514.042	1.00003	3423.79	1.00003	0.00194165	515.026	514.026
6.50148	11	390.692	0	3311.29	0	0	0	0
7.09253	12	369.127	0	3384	0	0	0	0
7.68357	13	329.368	1.00003	3420.82	2.00012	0.00302702	165.174	164.674
8.27462	14	319.087	1.00003	3310.52	0	0.00312424	0	0
8.86566	15	319.126	0	3414.83	2.00012	0	159.553	159.553
9.4567	16	267.216	1.00003	3309.06	1.00003	0.00372845	268.208	267.208
10.0477	17	278.42	0	3431.19	1.00003	0	278.411	278.411
10.6388	18	257.005	2.00012	3331.72	2.00012	0.00772232	129.495	128.495
11.2298	19	239.775	0	3300.81	0	0	0	0
11.8209	20	230.644	1.00003	3534.69	1.00009	0.0043171	231.623	230.623
12.4119	21	240.76	1.00003	3541.17	0	0.00413645	0	0
13.003	22	228.587	0	3410.67	3.00046	0	76.1841	76.1841
13.594	23	208.344	0	3343.35	0	0	0	0
14.1851	24	208.344	0	3452.19	0	0	0	0
14.7761	25	232.658	0	3370.76	0	0	0	0
15.3671	26	213.397	1.00003	3191.28	2.00012	0.00466439	107.192	106.692
15.9582	27	223.545	0	3387.02	0	0	0	0
16.5492	28	200.243	0	3335.96	0	0	0	0
17.1403	29	191.134	0	3359.86	1.00003	0	191.128	191.128
17.7313	30	202.256	1.00003	3447.37	0	0.00492006	0	0
18.3224	31	227.601	0	3329.23	1.00003	0	227.594	227.594
18.9134	32	188.087	0	3353.12	0	0	0	0
19.5045	33	220.477	0	3341.29	0	0	0	0
20.0955	34	210.403	1.00003	3388.57	0	0.00473044	0	0
20.6865	35	204.268	0	3413.37	1.00003	0	204.262	204.262
21.2776	36	221.49	1.00003	3565.61	1.00003	0.00449471	222.484	221.484
21.8686	37	179.985	0	3469.48	1.00003	0	179.98	179.98
22.4597	38	211.383	1.00003	3469.32	0	0.00470861	0	0
23.0507	39	209.357	1.00003	3485.87	0	0.00475396	0	0
23.6418	40	227.587	0	3334.6	0	0	0	0
24.2328	41	226.587	0	3312.62	0	0	0	0
24.8238	42	205.281	0	3335.27	1.00003	0	205.274	205.274
25.4149	43	202.28	0	3035.7	0	0	0	0
26.0059	44	261.117	0	2665.01	1.00003	0	261.109	261.109
26.597	45	356.946	1.00003	2216.13	5.00076	0.0027938	71.5784	71.3784
27.188	46	789.977	1.00003	1525.46	22.0161	0.0012643	35.9272	35.8817
27.7791	47	1589.5	9.00247	1093.19	70.1613	0.00563181	22.7833	22.655
28.3701	48	2810.9	12.0044	818.396	243.891	0.00425249	11.5744	11.5252
28.9612	49	4844.35	31.0294	678.126	708.72	0.00636451	6.87913	6.83535
29.5522	50	7008.26	36.0418	502.663	1840.04	0.00511645	3.82834	3.80876
30.2032	51	9347.61	58.1029	295.688	4006.34	0.0061774	2.34771	2.33321
31.0417	52	10498.4	72.1675	164.867	6794.89	0.00682723	1.55566	1.54504
31.8801	53	10698.8	64.1292	102.325	9414.21	0.00595837	1.14326	1.13645
32.7186	54	10081.1	72.1674	56.1028	11381.2	0.00710777	0.892111	0.885771
33.557	55	9200.47	58.1029	47.0675	12060	0.00627558	0.767706	0.762888
34.3955	56	8153.37	64.1292	21.0148	12151.1	0.00780399	0.676273	0.670996
35.2339	57	7239.55	55.0925	15.0069	11214	0.00755246	0.650492	0.645579
36.0724	58	6157.39	48.0734	13.0052	10381.4	0.00774695	0.597746	0.593116
36.9108	59	5452	31.0294	9.00302	9511.64	0.00565916	0.576455	0.573192
37.7493	60	4979.5	43.0592	4.00049	8951.56	0.00857315	0.561082	0.556272
38.5877	61	4696.03	41.0514	7.0015	8670.46	0.00866597	0.546347	0.541612
39.4262	62	4498.33	37.0418	9.00247	8243.09	0.00816733	0.550203	0.545709
40.2646	63	4540.07	37.0418	4.00049	7716.67	0.00809284	0.593146	0.588346
41.1031	64	4217.32	46.0647	2.00012	7920.03	0.0108047	0.538304	0.532488
41.9415	65	4351.13	70.15	3.00027	7674.69	0.0158664	0.576085	0.566945
42.78	66	4115.64	131.527	4.00049	7319.23	0.0309681	0.580275	0.562305
43.6184	67	4043.47	252.958	0	7371.15	0.0588763	0.582871	0.548554
44.4569	68	4227.33	354.814	5.00076	7254.03	0.0774341	0.631669	0.582757
45.2953	69	3885.81	459.523	5.00076	6880.73	0.105751	0.631522	0.564738
46.1338	70	3711.29	523.365	4.00049	6937.02	0.123591	0.610443	0.534998
46.9722	71	3770.17	596.922	4.00049	6589.16	0.136686	0.662769	0.572178
47.8107	72	3621.98	615.606	3.00027	6425.91	0.145273	0.659453	0.563653
48.6491	73	3704.59	634.233	2.00012	6392.29	0.146176	0.678759	0.579541
49.4876	74	3517.37	741.762	1.00003	6302.92	0.174158	0.675741	0.558055
50.326	75	3485.19	695.644	0	6375.32	0.166389	0.655783	0.546668
