# depth_nm	scan	16O-	18O-	Si-	WO3-	f18 = 18O-/(16O-+18O-)	O_over_W = (16O-+18O-)/WO3-	16O-_over_WO3-
0	0	1000.72	5.00076	35.0374	6.0011	0.00497232	167.589	166.756
0.531758	1	1835.1	3.00027	105.364	1.00015	0.00163227	1837.82	1834.82
1.06352	2	2522.31	4.00049	532.827	0	0.00158353	0	0
1.59527	3	2308.09	4.00049	1277.59	0	0.00173024	0	0
2.12703	4	1767.65	8.00195	1900.34	0	0.00450648	0	0
2.65879	5	1339.65	2.00012	2208.5	0	0.0014908	0	0
3.19055	6	995.401	3.00027	2415.98	0	0.00300508	0	0
3.72231	7	795.178	0	2379.51	0	0	0	0
4.25406	8	563.898	4.00049	2475.27	0	0.00704437	0	0
4.78582	9	458.522	0	2580.63	0	0	0	0
5.31758	10	387.619	1.00003	2562.53	0	0.00257329	0	0
5.84934	11	334.41	0	2577.77	0	0	0	0
6.38109	12	265.166	0	2608.6	0	0	0	0
6.91285	13	219.477	1.00003	2565.38	0	0.00453576	0	0
7.44461	14	202.256	0	2708.66	0	0	0	0
7.97637	15	203.256	0	2693.44	0	0	0	0
8.50813	16	166.847	0	2619.56	0	0	0	0
9.03988	17	133.551	0	2645.36	0	0	0	0
9.57164	18	106.344	0	2604.11	0	0	0	0
10.1034	19	160.806	0	2683.93	0	0	0	0
10.6352	20	127.503	0	2624.99	0	0	0	0
11.1669	21	95.2765	1.00003	2734.06	0	0.0103871	0	0
11.6987	22	107.351	0	2586.79	0	0	0	0
12.2304	23	121.471	1.00003	2604.1	0	0.00816542	0	0
12.7622	24	95.2823	0	2601.08	0	0	0	0
13.2939	25	101.313	0	2629.16	0	0	0	0
13.8257	26	102.319	0	2583.79	0	0	0	0
14.3575	27	72.1631	0	2657.88	0	0	0	0
14.8892	28	96.2824	0	2583.63	0	0	0	0
15.421	29	87.2371	1.00003	2666.13	0	0.0113334	0	0
15.9527	30	84.2264	0	2693.66	0	0	0	0
16.4845	31	75.1722	0	2570.56	0	0	0	0
17.0163	32	87.2371	0	2613.34	0	0	0	0
17.548	33	79.1959	0	2620.66	0	0	0	0
18.0798	34	88.2372	0	2668.07	0	0	0	0
18.6115	35	101.319	0	2567.74	0	0	0	0
19.1433	36	105.344	0	2663.43	0	0	0	0
19.675	37	75.1768	0	2629.15	0	0	0	0
20.2068	38	86.2265	0	2665.15	0	0	0	0
20.7386	39	74.1676	0	2577.09	0	0	0	0
21.2703	40	89.2426	0	2573.75	0	0	0	0
21.8021	41	91.2537	1.00003	2568.72	0	0.01084	0	0
