# depth_nm	scan	16O-	18O-	Si-	WO3-	f18 = 18O-/(16O-+18O-)	O_over_W = (16O-+18O-)/WO3-	16O-_over_WO3-
0	0	562.685	0	24.0176	1.00009	0	562.633	562.633
2.67295	1	1426.78	2.00012	2120.66	0	0.00139988	0	0
5.34589	2	607.262	1.00003	2475.69	0	0.00164408	0	0
8.01884	3	412.217	0	2535.1	0	0	0	0
10.6918	4	372.334	0	2537.8	0	0	0	0
13.3647	5	354.924	1.00003	2437.17	0	0.00280968	0	0
16.0377	6	314.008	0	2524.44	0	0	0	0
18.7106	7	364.059	0	2504.09	0	0	0	0
21.3836	8	304.912	1.00003	2480.73	0	0.00326901	0	0
24.0565	9	329.388	1.00003	2573.58	0	0.00302684	0	0
26.7295	10	328.388	0	2079.35	2.00012	0	164.184	164.184
29.4024	11	4139.45	17.0088	812.189	295.816	0.00409215	14.0508	13.9933
32.4832	12	8110.13	27.0223	50.0795	8446.3	0.00332085	0.963399	0.9602
35.6814	13	3860.64	26.0207	8.00195	6056.53	0.00669487	0.641729	0.637433
38.8796	14	3463.62	36.0396	4.00049	5236.63	0.010298	0.668304	0.661422
42.0777	15	3593.2	105.344	1.00003	5003.21	0.0284826	0.739234	0.718179
45.2759	16	3273.66	626.034	1.00003	4430.55	0.160534	0.880183	0.738884
48.4741	17	2906.85	851.003	0	4077.47	0.22646	0.921613	0.712904
51.6723	18	2912.21	925.07	0	4093.25	0.241074	0.937466	0.711467
54.8705	19	2896.31	927.186	1.00003	3959.38	0.242497	0.965682	0.731507
58.0687	20	2984.35	716.662	0	4235.96	0.193639	0.873714	0.704528
61.2669	21	3611.35	222.559	3.00027	4799.3	0.0580501	0.798847	0.752474
64.4651	22	3535.17	49.0734	0	4894.84	0.0136914	0.732249	0.722223
67.6633	23	3635.69	23.0176	0	4770.26	0.00629118	0.766981	0.762156
70.8614	24	3664.74	24.0176	0	4985.39	0.00651102	0.739914	0.735096
74.0596	25	5483.48	32.0313	49.0764	2833.5	0.00580749	1.94654	1.93523
77.2578	26	4009.44	8.00244	710.526	400.012	0.00199192	10.0433	10.0233
80.456	27	616.645	0	813.19	35.0374	0	17.5996	17.5996
83.6542	28	139.593	1.00003	1010.58	13.0052	0.00711295	10.8106	10.7337
86.8524	29	104.338	1.00003	1152.48	9.00247	0.00949355	11.701	11.5899
90.0506	30	123.472	0	1501.73	6.0011	0	20.5748	20.5748
93.2488	31	116.413	1.00003	1605.05	7.0015	0.00851723	16.7696	16.6268
96.447	32	105.344	0	1662.6	3.00027	0	35.1116	35.1116
99.6451	33	111.385	0	1723.45	2.00012	0	55.6889	55.6889
102.843	34	110.371	0	1807.54	1.00003	0	110.368	110.368
106.042	35	121.464	0	1781.15	0	0	0	0
109.24	36	119.442	1.00003	1942.28	1.00003	0.00830303	120.438	119.438
112.438	37	117.434	0	1876.9	2.00012	0	58.7135	58.7135
115.636	38	117.441	0	1947.64	0	0	0	0
118.834	39	130.526	0	2008.97	2.00012	0	65.2593	65.2593
122.032	40	139.602	2.00012	2083.5	0	0.014125	0	0
125.231	41	149.7	0	2130.37	3.00027	0	49.8954	49.8954
128.429	42	148.709	0	2157.61	0	0	0	0
131.627	43	150.709	1.00003	2190.92	1.00003	0.00659175	151.705	150.705
134.825	44	160.816	0	2182.34	0	0	0	0
138.023	45	139.61	0	2280.85	1.00003	0	139.606	139.606
141.222	46	157.767	0	2379.88	1.00003	0	157.762	157.762
144.42	47	149.691	0	2372.78	0	0	0	0
147.618	48	203.268	0	2520.1	0	0	0	0
150.816	49	183.03	1.00003	2473.76	0	0.00543407	0	0
154.014	50	155.747	3.00027	2324.24	0	0.0188996	0	0
157.213	51	173.963	1.00003	2494.59	0	0.00571568	0	0
160.411	52	173.941	1.00003	2458.14	0	0.00571638	0	0
163.609	53	206.293	0	2541.2	0	0	0	0
166.807	54	169.878	1.00003	2550.31	0	0.00585232	0	0
170.005	55	200.255	1.00003	2502.75	0	0.00496896	0	0
173.203	56	197.182	0	2529.28	0	0	0	0
176.402	57	141.619	0	2531.45	0	0	0	0
179.6	58	186.052	2.00012	2517.59	0	0.010636	0	0
182.798	59	170.93	1.00003	2467.12	0	0.0058165	0	0
