# depth_nm	scan	16O-	18O-	Si-	WO3-	f18 = 18O-/(16O-+18O-)	O_over_W = (16O-+18O-)/WO3-	16O-_over_WO3-
0	0	531.727	0	21.0135	5.00076	0	106.329	106.329
0.643359	1	1878.29	9.00247	188.075	0	0.00477004	0	0
1.28672	2	2605.08	6.0011	814.597	0	0.00229832	0	0
1.93008	3	2041.38	7.0015	1603.48	1.00003	0.00341806	2048.32	2041.32
2.57344	4	1618.33	4.00049	2151.46	0	0.00246589	0	0
3.2168	5	1163.15	2.00012	2323.39	0	0.00171662	0	0
3.86015	6	972.899	2.00012	2569.2	0	0.00205162	0	0
4.50351	7	769.189	1.00003	2564.72	0	0.00129842	0	0
5.14687	8	640.512	2.00012	2532.45	0	0.00311297	0	0
5.79023	9	590.735	1.00003	2500.17	0	0.00169	0	0
6.43359	10	558.513	1.00003	2592.34	0	0.00178732	0	0
7.07695	11	471.785	1.00003	2611.85	0	0.00211519	0	0
7.72031	12	424.556	0	2496.76	0	0	0	0
8.36367	13	428.689	0	2641.57	0	0	0	0
9.00703	14	404.114	1.00003	2593.77	0	0.00246852	0	0
9.65039	15	388.596	0	2517.43	0	0	0	0
10.2937	16	356.858	1.00003	2576.61	0	0.00279449	0	0
10.9371	17	375.311	0	2551.51	0	0	0	0
11.5805	18	389.62	0	2588.16	0	0	0	0
12.2238	19	340.611	2.00012	2562.71	0	0.00583787	0	0
12.8672	20	397.839	0	2535.12	0	0	0	0
13.5105	21	330.368	0	2628.14	0	0	0	0
14.1539	22	361.014	0	2509.41	0	0	0	0
14.7973	23	376.335	0	2569.08	0	0	0	0
15.4406	24	373.311	1.00003	2425.84	0	0.00267166	0	0
16.084	25	384.524	0	2585.81	0	0	0	0
16.7273	26	339.556	0	2577.59	0	0	0	0
17.3707	27	339.535	2.00012	2534.28	0	0.00585627	0	0
18.0141	28	397.913	0	2595.51	0	0	0	0
18.6574	29	364.059	1.00003	2570.41	0	0.00273937	0	0
19.3008	30	305.912	2.00012	2452.51	0	0.00649575	0	0
19.9441	31	347.684	1.00003	2553.67	0	0.00286801	0	0
20.5875	32	356.902	1.00003	2604.25	0	0.00279414	0	0
21.2308	33	365.058	1.00003	2528.28	0	0.00273189	0	0
21.8742	34	314.009	2.00012	2553.5	0	0.00632932	0	0
22.5176	35	333.43	2.00012	2563.72	0	0.00596285	0	0
23.1609	36	342.725	0	2600.07	0	0	0	0
23.8043	37	389.668	0	2493.15	0	0	0	0
24.4476	38	353.858	0	2633.26	0	0	0	0
25.091	39	369.15	0	2519.93	1.00003	0	369.139	369.139
25.7344	40	344.684	0	2449.99	1.00003	0	344.673	344.673
26.3777	41	372.357	3.00027	2140.78	1.00003	0.00799312	375.345	372.345
27.0211	42	430.716	3.00027	1645.2	5.00076	0.0069176	86.73	86.1301
27.6644	43	726.07	1.00003	1089.12	13.0052	0.00137543	55.9063	55.8294
28.3078	44	1766.77	7.0015	949.436	47.0706	0.00394725	37.6831	37.5344
28.9512	45	3917.53	10.0031	810.316	251.035	0.00254691	15.6453	15.6055
