# depth_nm	scan	16O-	18O-	Si-	WO3-	f18 = 18O-/(16O-+18O-)	O_over_W = (16O-+18O-)/WO3-	16O-_over_WO3-
0	0	694.731	2.00012	30.0293	14.0068	0.00287072	49.7422	49.5994
0.642757	1	2722.46	8.00195	198.243	1.00003	0.00293062	2730.38	2722.38
1.28551	2	3265.44	9.00247	1105.82	0	0.00274931	0	0
1.92827	3	2555.51	7.0015	2219.27	0	0.00273228	0	0
2.57103	4	1736.01	5.00076	2893.7	0	0.00287233	0	0
3.21379	5	1302.42	4.00049	3228.56	0	0.00306219	0	0
3.85654	6	910.085	0	3290.8	0	0	0	0
4.4993	7	706.391	0	3391.33	0	0	0	0
5.14206	8	573.15	1.00003	3306.27	0	0.00174176	0	0
5.78482	9	419.476	1.00003	3366	0	0.00237833	0	0
6.42757	10	409.09	1.00003	3298.58	0	0.00243857	0	0
7.07033	11	324.186	1.00003	3511.04	0	0.00307525	0	0
7.71309	12	250.927	0	3495.66	0	0	0	0
8.35585	13	262.117	0	3410.45	0	0	0	0
8.9986	14	237.745	1.00003	3405.43	0	0.00418869	0	0
9.64136	15	214.449	1.00003	3463.5	0	0.0046416	0	0
10.2841	16	200.218	0	3462.09	0	0	0	0
10.9269	17	218.477	0	3526.23	0	0	0	0
11.5696	18	181.029	0	3365.7	0	0	0	0
12.2124	19	174.952	0	3438.06	0	0	0	0
12.8551	20	186.064	0	3407.21	0	0	0	0
13.4979	21	186.087	0	3303.93	0	0	0	0
14.1407	22	161.796	0	3450.94	0	0	0	0
14.7834	23	160.796	0	3373.62	0	0	0	0
15.4262	24	154.738	0	3345.84	0	0	0	0
16.0689	25	172.92	1.00003	3381.78	0	0.00574995	0	0
16.7117	26	144.654	0	3484.32	0	0	0	0
17.3545	27	160.796	1.00003	3413.37	0	0.0061808	0	0
17.9972	28	154.747	0	3422.24	0	0	0	0
18.64	29	154.747	2.00012	3480.21	0	0.0127602	0	0
19.2827	30	163.826	0	3387.51	0	0	0	0
19.9255	31	180.018	0	3436.19	0	0	0	0
20.5682	32	136.584	1.00003	3279.56	0	0.00726849	0	0
21.211	33	167.865	1.00003	3377.39	0	0.00592208	0	0
21.8538	34	143.645	0	3437.9	0	0	0	0
22.4965	35	184.052	0	3376.15	0	0	0	0
23.1393	36	163.846	0	3429.71	0	0	0	0
23.782	37	166.847	0	3345.88	0	0	0	0
24.4248	38	168.919	0	3424.87	1.00003	0	168.914	168.914
25.0675	39	213.384	1.00003	3116.28	0	0.00466468	0	0
25.7103	40	185.052	1.00003	3225.17	2.00012	0.00537499	93.0205	92.5205
26.3531	41	210.357	2.00012	2762.08	2.00012	0.00941865	106.172	105.172
26.9958	42	313.028	1.00009	1939.02	5.00076	0.00318472	62.7961	62.5961
27.6386	43	792.217	1.00003	1426.87	20.0122	0.00126073	39.6366	39.5866
28.2813	44	2124.56	12.0044	1254.45	68.1498	0.00561854	31.351	31.1749
28.9241	45	4913.09	17.0088	1038.67	313.067	0.00344999	15.7478	15.6934
29.5668	46	8680.48	46.0675	728.252	1265.81	0.00527901	6.89405	6.85765
30.2597	47	11835.4	52.0827	369.218	4070.38	0.00438129	2.9205	2.9077
31.0561	48	12824.5	66.1333	189.099	7758.45	0.00513034	1.6615	1.65297
31.8525	49	11779.2	66.1381	90.2481	10836	0.00558349	1.09314	1.08704
32.6488	50	10078.8	47.0704	37.0418	11935.2	0.00464851	0.848403	0.84446
33.4452	51	8217.03	40.0489	15.0069	11094.1	0.00485025	0.744276	0.740666
34.2416	52	6460.16	42.0539	10.0031	9411.47	0.00646763	0.690882	0.686413
35.038	53	5562.53	47.0675	9.00247	8398.23	0.00839054	0.66795	0.662345
35.8344	54	4985.97	35.0374	4.00049	7545.69	0.00697817	0.665413	0.66077
36.6307	55	4895.34	40.0489	2.00012	7182.75	0.00811464	0.687117	0.681541
37.4271	56	4626.71	35.0374	0	7103.79	0.00751595	0.656233	0.651301
38.2235	57	4615.49	28.024	3.00027	7117.76	0.00603508	0.652384	0.648447
39.0199	58	4841.81	36.0418	0	6929.67	0.00738887	0.703908	0.698707
39.8163	59	4914.35	38.0441	1.00003	6902.66	0.00768197	0.717462	0.71195
40.6126	60	4942.03	45.0619	2.00012	6776.22	0.00903572	0.735969	0.729319
41.409	61	4769.25	91.2537	1.00003	6475.61	0.0187745	0.750586	0.736494
42.2054	62	4855.23	181.007	0	6646.04	0.035941	0.75778	0.730545
43.0018	63	4444.54	321.127	2.00012	6396.27	0.0673834	0.74507	0.694864
43.7982	64	4480.03	514.074	0	6116.01	0.102936	0.816563	0.732509
44.5945	65	4448.41	741.669	1.00003	6107.54	0.142901	0.849782	0.728347
45.3909	66	4315.81	882.559	0	6040.73	0.169776	0.860554	0.714452
46.1873	67	4220.78	1007.79	0	5824.63	0.192746	0.897664	0.724642
46.9837	68	4003.74	1118.67	2.00012	5659.09	0.218387	0.905164	0.707488
47.7801	69	3953.62	1129.88	0	5614.59	0.222264	0.905408	0.704168
48.5764	70	3895.23	1253.57	1.00003	5502.39	0.243468	0.935739	0.707917
49.3728	71	3796.2	1214.49	0	5397.95	0.24238	0.928258	0.703267
50.1692	72	3960.49	1188.71	0	5487.14	0.230853	0.938411	0.721776
50.9656	73	3949.62	1169.23	0	5273.24	0.228416	0.97072	0.748992
51.762	74	3840.04	1222.96	0	5277.1	0.241548	0.959429	0.727681
52.5583	75	3887.4	1098.19	0	5384.1	0.220273	0.925984	0.722015
53.3547	76	3835.24	1208.88	0	5393.45	0.239661	0.93523	0.711092
54.1511	77	3800.01	1198.02	0	5361.18	0.239699	0.932264	0.708802
54.9475	78	3892.77	1187.65	0	5246.38	0.233771	0.968367	0.741991
55.7439	79	3801.24	1145.61	0	5422.21	0.231583	0.912331	0.70105
56.5402	80	3877.33	1162.15	0	5524.83	0.230609	0.912153	0.701802
57.3366	81	3981.28	1036.54	0	5332.8	0.206571	0.940934	0.746564
58.133	82	3910.02	908.141	0	5582.55	0.188483	0.863074	0.700399
58.9294	83	4269.96	745.902	0	5856.03	0.148709	0.856529	0.729156
59.7258	84	4422.83	665.452	1.00003	6195.16	0.130781	0.821331	0.713916
60.5222	85	4689.02	490.293	0	6311.64	0.0946637	0.820597	0.742916
61.3185	86	4866	357.966	0	6535.7	0.0685239	0.799297	0.744526
62.1149	87	4935.23	222.504	0	6311.94	0.0431399	0.81714	0.781889
62.9113	88	4832.08	179.985	0	6605.53	0.0359103	0.758769	0.731521
63.7077	89	4948.86	106.344	0	6746.44	0.0210366	0.749314	0.733551
64.5041	90	4919.43	74.1722	0	6661.98	0.0148534	0.749567	0.738433
65.3004	91	4879.19	45.0647	0	6542.78	0.00915158	0.752624	0.745736
66.0968	92	4935.5	44.0592	0	6500.37	0.00884801	0.766042	0.759264
66.8932	93	4980.12	42.0539	0	6523.14	0.00837364	0.769901	0.763454
67.6896	94	4873.48	29.0275	0	6604.45	0.00592094	0.742305	0.73791
68.486	95	4821.42	33.0333	0	6430.62	0.00680474	0.754897	0.74976
69.2823	96	4801.41	22.0175	0	6458.09	0.0045647	0.746881	0.743472
70.0787	97	4909.5	27.0223	0	6608.11	0.00547395	0.74704	0.742951
70.8751	98	4992.21	25.0191	0	6590.89	0.00498663	0.761237	0.757441
71.6715	99	5083.67	24.0176	0	6558.57	0.00470224	0.778782	0.77512
72.4679	100	5372.68	21.0135	2.00012	6129.57	0.00389593	0.879947	0.876519
73.2642	101	5846.91	32.0332	6.0011	5420.95	0.00544881	1.08449	1.07858
74.0606	102	6365.86	38.0441	22.0148	4333.88	0.00594077	1.47764	1.46886
