# depth_nm	scan	16OCs2+	18OCs2+	SiCs+	WCs+	f18 = 18OCs2+/(16OCs2++18OCs2+)	O_over_W = (16OCs2++18OCs2+)/WCs+	16OCs2+_over_WCs+
0	0	48.0796	28.0421	333.666	42.0791	0.368385	1.80902	1.1426
0.636563	1	1130.27	4.00027	1537.59	2.00018	0.00352674	567.084	565.084
1.27313	2	1592.11	5.00053	1590.17	0	0.00313099	0	0
1.90969	3	1193.47	2.00006	1431.88	0	0.00167303	0	0
2.54625	4	821.205	2.00006	1363.13	0	0.0024296	0	0
3.18281	5	636.135	3.00014	1397.41	0	0.00469406	0	0
3.81938	6	472.389	1.00002	1396.41	0	0.00211246	0	0
4.45594	7	354.915	2.00012	1366.25	0	0.00560391	0	0
5.0925	8	306.428	2.00012	1452.73	0	0.00648488	0	0
5.72907	9	240.883	0	1399.49	0	0	0	0
6.36563	10	197.595	4.00024	1354.62	0	0.019843	0	0
7.00219	11	206.65	0	1413.03	0	0	0	0
7.63876	12	128.251	0	1356.7	0	0	0	0
8.27532	13	186.53	0	1397.42	0	0	0	0
8.91188	14	152.354	0	1372.6	0	0	0	0
9.54844	15	130.259	2.00006	1387.99	0	0.0151223	0	0
10.185	16	136.283	1.00005	1368.21	0	0.00728455	0	0
10.8216	17	90.1238	1.00002	1379.79	0	0.0109742	0	0
11.4581	18	137.287	0	1489.43	0	0	0	0
12.0947	19	130.259	0	1453.87	0	0	0	0
12.7313	20	135.279	0	1380.73	0	0	0	0
13.3678	21	130.259	0	1468.46	0	0	0	0
14.0044	22	127.247	0	1438.15	1.00002	0	127.245	127.245
14.6409	23	130.259	0	1438.1	0	0	0	0
15.2775	24	110.185	0	1375.55	0	0	0	0
15.9141	25	129.255	0	1476.83	0	0	0	0
16.5506	26	108.178	0	1394.29	1.00002	0	108.177	108.177
17.1872	27	103.162	0	1446.55	0	0	0	0
17.8238	28	115.202	0	1442.37	0	0	0	0
18.4603	29	126.243	0	1384.86	0	0	0	0
19.0969	30	144.317	0	1442.46	0	0	0	0
19.7335	31	122.228	2.00006	1439.24	0	0.0161	0	0
20.37	32	132.267	0	1389.07	0	0	0	0
21.0066	33	122.228	1.00002	1370.34	0	0.00811518	0	0
21.6431	34	109.182	1.00002	1401.59	0	0.00907606	0	0
22.2797	35	130.259	0	1327.57	0	0	0	0
22.9163	36	134.275	2.00006	1352.58	0	0.0146767	0	0
23.5528	37	123.231	0	1404.77	0	0	0	0
24.1894	38	130.263	1.00002	1457.1	0	0.00761844	0	0
24.826	39	135.279	0	1436.06	0	0	0	0
25.4625	40	139.296	1.00002	1650	1.00002	0.00712791	140.294	139.294
26.0991	41	196.589	2.00006	2199.31	0	0.0100714	0	0
26.7356	42	457.188	0	2783.25	3.00014	0	152.389	152.389
27.3722	43	1486.2	5.00038	3238.34	12.0022	0.00335326	124.244	123.827
28.0088	44	4264.58	16.0049	3277.17	32.0156	0.00373895	133.703	133.203
28.6453	45	9598.58	39.0232	2428.48	72.0792	0.00404906	133.708	133.167
29.2819	46	15376.5	75.0896	1343.53	103.162	0.00485966	149.78	149.052
29.9185	47	18713.9	97.1468	739.759	109.185	0.00516436	172.286	171.396
30.7054	48	17650.9	85.1121	425.002	160.392	0.00479884	110.579	110.048
31.5145	49	14099.6	75.086	254.099	229.804	0.00529719	61.6816	61.3548
32.3236	50	10777.3	71.077	141.309	297.354	0.00655185	36.4831	36.244
33.1327	51	8509.44	43.0282	62.0697	315.514	0.00503109	27.1065	26.9701
33.9417	52	7143.56	40.0244	34.0197	403.499	0.00557165	17.8032	17.704
34.7508	53	6774.39	45.0309	22.0081	358.97	0.00660334	18.9972	18.8717
35.5599	54	6911	52.0413	18.0055	380.209	0.00747394	18.3137	18.1768
36.3689	55	6777	46.0337	11.0018	367.048	0.00674682	18.5889	18.4635
37.178	56	6711.52	55.0462	9.00179	374.128	0.00813503	18.0863	17.9391
37.9871	57	6932.42	49.0367	7.00075	378.185	0.00702385	18.4604	18.3307
38.7962	58	6719.76	62.0606	7.00096	370.082	0.00915103	18.3252	18.1575
39.6052	59	6736.18	94.138	4.00024	381.221	0.0137824	17.917	17.67
40.4143	60	6448.54	168.432	6.00055	401.461	0.0254546	16.4822	16.0627
41.2234	61	6225.02	336.745	2.00006	392.339	0.0513192	16.7247	15.8664
42.0325	62	6029	591.321	4.00024	415.638	0.0893192	15.9281	14.5054
42.8415	63	5711.59	826.383	1.00002	421.715	0.126397	15.5033	13.5437
43.6506	64	5541.95	1074.52	2.00006	395.388	0.162401	16.7341	14.0165
44.4597	65	5379.95	1285.94	3.00023	427.78	0.192914	15.5825	12.5764
45.2687	66	5303	1386.03	6.00055	408.549	0.207209	16.3727	12.9801
46.0778	67	5192.88	1545.19	5.00038	437.927	0.229322	15.3863	11.8579
46.8869	68	5003.88	1541.9	7.00075	394.364	0.235556	16.5983	12.6885
47.696	69	4968.61	1646.9	3.00014	433.884	0.248945	15.2472	11.4515
48.505	70	4981.89	1608.96	2.00012	470.36	0.24412	14.0124	10.5917
49.3141	71	5022.05	1663.68	2.00012	415.638	0.24884	16.0855	12.0828
50.1232	72	4920.96	1662.47	1.00002	408.536	0.252523	16.1147	12.0453
50.9323	73	5025.87	1663.57	0	452.105	0.248686	14.7962	11.1166
51.7413	74	4984.58	1590.06	3.00014	430.833	0.241847	15.2603	11.5696
52.5504	75	4806.17	1632.33	0	436.927	0.253527	14.7359	10.9999
53.3595	76	4901.6	1643	2.00006	458.217	0.251047	14.2828	10.6971
54.1685	77	4914.87	1570.27	1.00005	448.049	0.242133	14.4742	10.9695
54.9776	78	4813.07	1512.8	2.00012	421.715	0.239144	15.0003	11.4131
55.7867	79	4877.2	1465.46	0	430.82	0.231048	14.7223	11.3207
56.5958	80	5122.01	1295.43	3.00014	434.913	0.201861	14.7557	11.7771
57.4048	81	5371.02	1026.99	2.00006	505.932	0.160517	12.646	10.6161
58.2139	82	5668.17	822.305	3.00023	435.886	0.126694	14.8903	13.0038
59.023	83	5973.51	623.96	2.00006	437.913	0.0945756	15.0657	13.6409
59.8321	84	6107.14	477.476	0	443.022	0.072514	14.863	13.7852
60.6411	85	6373.98	357.97	0	434.873	0.0531748	15.4803	14.6571
61.4502	86	6392.28	195.583	0	451.118	0.0296883	14.6034	14.1699
62.2593	87	6469.53	151.349	5.00038	465.316	0.0228594	14.2288	13.9035
63.0684	88	6007.18	93.1351	2.00006	421.702	0.0152673	14.4659	14.2451
63.8774	89	6005.76	74.0837	2.00006	475.432	0.0121851	12.788	12.6322
64.6865	90	5971.11	55.0462	2.00006	422.728	0.00913455	14.2554	14.1252
65.4956	91	5913.51	49.0367	0	451.091	0.00822412	13.2181	13.1094
66.3046	92	6150.12	44.0296	0	448.049	0.00710825	13.8247	13.7264
67.1137	93	5948.3	27.0111	1.00002	428.819	0.00452046	13.9343	13.8713
67.9228	94	6085.8	45.0309	1.00002	428.793	0.00734499	14.2979	14.1929
68.7319	95	5970.71	34.0177	0	450.105	0.00566515	13.3407	13.2652
69.5409	96	6172.77	34.0177	3.00032	448.082	0.00548072	13.8519	13.776
70.35	97	6115.59	30.0145	10.0021	486.64	0.0048839	12.6286	12.567
71.1591	98	5943.67	34.0177	39.0244	501.838	0.00569077	11.9116	11.8438
71.9682	99	5871.23	36.0209	145.329	559.788	0.00609774	10.5527	10.4883
72.7772	100	5360.21	26.0103	390.41	569.935	0.00482905	9.45058	9.40495
73.5863	101	5020.21	17.0044	902.395	578.069	0.00337575	8.71387	8.68445
74.3954	102	4571.17	26.0103	1659.52	500.808	0.00565789	9.17953	9.1276
75.2044	103	3804.55	17.0044	2531.95	427.78	0.00444961	8.93344	8.89369
76.0135	104	2879.3	17.0044	3903.81	366.037	0.00587108	7.91259	7.86614
76.8226	105	2237.05	5.00038	4840.95	295.327	0.00223027	7.59175	7.57482
77.6317	106	1492.57	3.00014	5678.4	186.536	0.00200601	8.01762	8.00154
78.4407	107	1088.89	2.00006	6362.83	186.53	0.00183342	5.84836	5.83763
79.2498	108	744.392	3.00014	6793.08	133.275	0.00401414	5.6079	5.58539
80.0589	109	484.565	4.00024	7046.1	109.182	0.00818773	4.47479	4.43815
80.868	110	370.093	2.00006	7089.65	68.0707	0.00537516	5.46628	5.4369
81.677	111	305.419	1.00002	6994.58	56.0479	0.00326356	5.46709	5.44925
82.4861	112	274.144	2.00006	6662.5	55.0462	0.00724283	5.01658	4.98024
83.2952	113	219.742	2.00006	6465.82	55.0462	0.00901977	4.02829	3.99195
84.1042	114	201.619	1.00002	6433.8	42.0269	0.00493545	4.82117	4.79738
84.9133	115	172.453	1.00002	5897.03	31.0147	0.00576534	5.59261	5.56037
85.7224	116	157.382	1.00002	5822.01	37.0209	0.00631394	4.27818	4.25117
86.5315	117	125.239	1.00002	5696.35	24.0088	0.0079216	5.25803	5.21638
87.3405	118	137.287	2.00006	5349.67	17.0046	0.0143593	8.19114	8.07352
88.1496	119	113.195	2.00006	5221.13	24.0088	0.0173623	4.79805	4.71474
88.9587	120	120.22	0	5092.91	13.0026	0	9.24588	9.24588
89.7678	121	85.1104	0	4844.83	18.0049	0	4.72706	4.72706
90.5768	122	72.0792	1.00002	4793.69	11.0018	0.013684	6.64245	6.55156
91.3859	123	92.1294	2.00006	4553.12	19.0055	0.021248	4.95275	4.84751
92.195	124	78.093	0	4376.99	10.0015	0	7.80811	7.80811
93.004	125	76.0883	1.00002	4210.95	13.0026	0.0129723	5.92869	5.85178
93.8131	126	67.0686	1.00002	3997.08	10.0015	0.0146913	6.80582	6.70584
94.6222	127	74.0837	0	4000.09	6.00055	0	12.3462	12.3462
95.4313	128	60.055	0	3948.53	16.0039	0	3.75252	3.75252
96.2403	129	68.0707	1.00002	3800.96	8.00098	0.0144781	8.63278	8.50779
97.0494	130	83.1053	0	3636.46	10.0015	0	8.30926	8.30926
