# depth_nm	scan	16OCs2+	18OCs2+	SiCs+	WCs+	f18 = 18OCs2+/(16OCs2++18OCs2+)	O_over_W = (16OCs2++18OCs2+)/WCs+	16OCs2+_over_WCs+
0	0	35.0445	22.0284	276.82	30.0555	0.38597	1.89892	1.166
0.641357	1	981.555	0	1363.03	0	0	0	0
1.28271	2	1330.68	4.00024	1457.05	1.00002	0.00299716	1334.66	1330.66
1.92407	3	1025.92	5.00053	1269.31	0	0.00485053	0	0
2.56543	4	762.81	1.00008	1185.25	0	0.00130933	0	0
3.20679	5	532.317	3.00014	1208.11	0	0.00560442	0	0
3.84814	6	411.587	1.00002	1179.99	0	0.00242377	0	0
4.4895	7	307.438	1.00002	1190.44	0	0.00324219	0	0
5.13086	8	297.345	1.00002	1222.6	0	0.00335187	0	0
5.77222	9	235.854	0	1249.56	0	0	0	0
6.41357	10	250.959	1.00002	1295.31	0	0.00396897	0	0
7.05493	11	214.702	0	1238.14	0	0	0	0
7.69629	12	191.559	0	1221.56	0	0	0	0
8.33765	13	202.625	0	1252.68	0	0	0	0
8.979	14	175.469	1.00005	1209.11	0	0.00566698	0	0
9.62036	15	170.447	1.00002	1266.15	0	0.00583278	0	0
10.2617	16	177.48	0	1247.45	0	0	0	0
10.9031	17	176.474	0	1263.11	0	0	0	0
11.5444	18	152.358	0	1299.51	1.00002	0	152.356	152.356
12.1858	19	142.309	1.00002	1219.41	1.00002	0.00697806	143.306	142.306
12.8271	20	182.507	0	1250.56	0	0	0	0
13.4685	21	131.267	0	1238.1	0	0	0	0
14.1099	22	164.412	1.00002	1268.27	0	0.00604561	0	0
14.7512	23	140.3	1.00002	1250.6	0	0.00707725	0	0
15.3926	24	157.377	0	1269.31	0	0	0	0
16.0339	25	173.458	0	1226.75	0	0	0	0
16.6753	26	151.349	0	1220.49	0	0	0	0
17.3167	27	163.407	1.00002	1210.11	0	0.00608257	0	0
17.958	28	190.553	0	1174.92	0	0	0	0
18.5994	29	164.412	0	1200.73	0	0	0	0
19.2407	30	180.496	0	1275.66	0	0	0	0
19.8821	31	141.304	1.00002	1305.67	0	0.0070273	0	0
20.5234	32	180.496	0	1213.26	0	0	0	0
21.1648	33	178.485	0	1209.07	0	0	0	0
21.8062	34	137.287	0	1247.48	0	0	0	0
22.4475	35	152.354	1.00002	1315.08	1.00002	0.00652097	153.351	152.351
23.0889	36	147.339	1.00002	1256.91	0	0.00674141	0	0
23.7302	37	165.417	0	1182.14	0	0	0	0
24.3716	38	149.34	1.00002	1269.31	0	0.0066517	0	0
25.0129	39	184.519	0	1360.87	0	0	0	0
25.6543	40	189.547	0	1570.22	0	0	0	0
26.2957	41	233.832	1.00002	2174.93	0	0.00425842	0	0
26.937	42	635.135	0	2656.79	10.0015	0	63.5038	63.5038
27.5784	43	2020.13	9.00124	3003.08	20.0061	0.00443601	101.426	100.976
28.2197	44	5404.64	38.024	2756.14	46.0323	0.00698628	118.236	117.41
28.8611	45	10686.7	60.055	1903.83	84.1079	0.0055882	127.773	127.059
29.5024	46	15020.5	88.1211	977.798	84.1079	0.0058325	179.634	178.586
30.1875	47	16491.2	103.165	514.228	128.251	0.00621691	129.39	128.585
31.0239	48	15115.1	95.1409	326.863	163.407	0.00625504	93.0822	92.5
31.8602	49	11647.1	75.0883	194.625	238.876	0.00640566	49.0723	48.7579
32.6966	50	8706	52.0413	103.181	258.013	0.00594212	33.9442	33.7425
33.5329	51	7008.11	52.0429	50.0397	316.524	0.00737136	22.3053	22.1409
34.3693	52	6214.25	43.0282	31.0156	287.264	0.00687651	21.7823	21.6325
35.2056	53	5798.8	47.0337	17.0049	310.466	0.00804569	18.8292	18.6777
36.042	54	5837.44	38.0221	15.0034	307.438	0.00647132	19.1111	18.9874
36.8783	55	6010.95	50.0397	5.00038	304.41	0.00825603	19.9106	19.7463
37.7147	56	6290.85	54.0445	14.0038	321.592	0.0085178	19.7296	19.5616
38.551	57	6065.51	46.0323	9.00151	302.391	0.00753203	20.2107	20.0585
39.3874	58	5907.54	61.0568	5.00038	332.704	0.0102297	17.9397	17.7562
40.2237	59	5730.04	138.296	7.00096	331.673	0.0235664	17.6931	17.2762
41.0601	60	5637.76	244.92	8.00122	367.082	0.0416342	16.0255	15.3583
41.8964	61	5464.38	400.486	2.00012	357.959	0.0682856	16.3842	15.2654
42.7328	62	5411.1	633.109	9.00124	373.145	0.104746	16.198	14.5014
43.5691	63	5055.21	844.875	2.00006	400.437	0.143197	14.7341	12.6242
44.4055	64	4891.3	1042.41	2.00006	363.003	0.175675	16.3462	13.4745
45.2418	65	4840.06	1170.92	1.00002	360.981	0.194797	16.6518	13.4081
46.0782	66	4637.45	1344.57	6.00055	379.197	0.224769	15.7755	12.2297
46.9145	67	4623.92	1458.23	3.00023	351.893	0.239756	17.2841	13.1401
47.7509	68	4524.95	1419.5	3.00014	335.734	0.238794	17.7058	13.4778
48.5872	69	4561.87	1460.23	3.00014	357.948	0.242479	16.824	12.7445
49.4236	70	4425.05	1368.47	2.00006	404.486	0.236207	14.3232	10.9399
50.2599	71	4412.17	1446.82	2.00006	352.904	0.246941	16.6022	12.5024
51.0963	72	4385.42	1445.78	2.00006	401.449	0.247938	14.5254	10.924
51.9326	73	4421.47	1469.65	1.00002	402.461	0.249468	14.6377	10.9861
52.769	74	4375.84	1474.01	1.00002	367.059	0.251973	15.9371	11.9213
53.6053	75	4396	1485.2	2.00012	338.745	0.252534	17.3617	12.9773
54.4417	76	4477.89	1416.25	4.00024	377.174	0.240281	15.6271	11.8722
55.278	77	4370.27	1361.08	1.00002	391.327	0.23748	14.6459	11.1678
56.1144	78	4608.1	1367.32	2.00006	358.981	0.228824	16.6455	12.8366
56.9507	79	4550.82	1219.49	0	383.232	0.211338	15.0569	11.8748
57.7871	80	4770.47	1041.41	1.00002	391.351	0.179186	14.8508	12.1897
58.6234	81	5033.88	825.358	0	340.797	0.140864	17.1927	14.7709
59.4598	82	5299.8	602.579	1.00002	404.499	0.102091	14.5918	13.1022
60.2961	83	5360.16	474.447	0	349.861	0.0813159	16.6769	15.3208
61.1325	84	5515.44	302.4	0	376.151	0.0519781	15.4668	14.6629
61.9688	85	5620.62	210.682	3.00014	349.861	0.0361295	16.6675	16.0653
62.8052	86	5464.66	137.287	3.00014	386.268	0.024507	14.5028	14.1473
63.6415	87	5750.2	95.138	0	410.574	0.0162759	14.237	14.0053
64.4779	88	5644.14	76.0883	2.00006	351.883	0.0133016	16.2561	16.0398
65.3142	89	5573.14	44.0298	1.00005	363.003	0.00783843	15.4742	15.3529
66.1506	90	5599.18	48.0352	2.00009	416.65	0.008506	13.5538	13.4386
66.9869	91	5661.6	33.0176	4.00024	441.994	0.00579804	12.8839	12.8092
67.8233	92	5592.06	38.0221	0	398.412	0.00675338	14.1313	14.0359
68.6596	93	5640.51	39.0232	2.00012	388.292	0.00687085	14.627	14.5265
69.4959	94	5631.44	35.0187	2.00006	385.268	0.00618	14.7079	14.617
70.3323	95	5646.78	39.0244	5.00038	404.499	0.00686349	14.0564	13.9599
71.1686	96	5752.2	21.0074	19.0055	431.846	0.00363877	13.3687	13.32
72.005	97	5713.74	20.0061	36.0209	468.331	0.00348919	12.2429	12.2002
72.8413	98	5411.31	25.0095	149.349	524.17	0.00460046	10.3713	10.3236
73.6777	99	5137.19	23.0086	365.104	533.317	0.00445887	9.67567	9.63253
74.514	100	4739.26	25.0095	875.703	514.026	0.0052494	9.26853	9.21988
75.3504	101	4164.21	23.0081	1694.42	455.16	0.00549483	9.19944	9.14889
76.1867	102	3347.72	16.0039	2638.93	372.105	0.0047578	9.03972	8.99671
77.0231	103	2597.43	17.0044	3743.3	301.382	0.00650405	8.67483	8.61841
77.8594	104	1787.01	11.0018	4806.54	255.997	0.00611889	7.02357	6.98059
78.6958	105	1267.19	11.0018	5604.62	208.663	0.00860736	6.12563	6.0729
79.5321	106	906.478	4.00024	6097.17	162.402	0.00439356	5.60633	5.5817
80.3685	107	647.353	3.00014	6460.78	122.231	0.00461309	5.32067	5.29612
81.2048	108	465.288	2.00006	6800.6	68.0727	0.00428015	6.86454	6.83516
82.0412	109	375.139	2.00006	6706.34	73.0859	0.00530324	5.16022	5.13285
82.8775	110	291.291	4.00024	6611.6	66.0686	0.0135468	4.46946	4.40892
83.7139	111	231.818	1.00002	6440.45	50.0382	0.00429526	4.65281	4.63282
84.5502	112	219.735	2.00006	6169.79	47.0337	0.00902004	4.71439	4.67186
85.3866	113	182.507	2.00006	5956.31	37.0209	0.01084	4.98387	4.92984
86.2229	114	169.437	3.00014	5841.74	39.0232	0.0173984	4.41884	4.34196
87.0593	115	148.335	2.00012	5437.03	22.0074	0.0133044	6.83113	6.74025
87.8956	116	132.267	2.00006	5408.33	27.0111	0.0148962	4.97079	4.89674
88.732	117	104.165	1.00002	4991.91	23.0081	0.00950898	4.5708	4.52734
89.5683	118	114.202	2.00006	4914.99	24.0088	0.0172119	4.83999	4.75668
