# depth_nm	scan	16O-	18O-	Si-	WO3-	f18 = 18O-/(16O-+18O-)	O_over_W = (16O-+18O-)/WO3-	16O-_over_WO3-
0	0	409.191	0	22.0148	5.00137	0	81.8157	81.8157
0.633734	1	1654.78	2.00012	133.559	1.00021	0.00120723	1656.43	1654.43
1.26747	2	1975.26	4.00073	785.319	0	0.00202132	0	0
1.9012	3	1556.35	1.00003	1418.04	0	0.000642135	0	0
2.53493	4	1059.4	0	1841.77	0	0	0	0
3.16867	5	712.615	1.00003	2028.77	0	0.00140136	0	0
3.8024	6	501.694	1.00003	2158.03	0	0.00198934	0	0
4.43614	7	396.913	1.00003	2212.84	0	0.00251319	0	0
5.06987	8	309.951	2.00012	2235.63	0	0.00641165	0	0
5.7036	9	225.615	1.00003	2167.76	0	0.00441291	0	0
6.33734	10	182.03	0	2282.74	0	0	0	0
6.97107	11	138.584	0	2272.84	0	0	0	0
7.6048	12	110.378	0	2335.16	0	0	0	0
8.23854	13	90.2647	0	2328.15	0	0	0	0
8.87227	14	88.2372	0	2146.07	0	0	0	0
9.50601	15	59.1101	0	2259.37	0	0	0	0
10.1397	16	60.1175	0	2251.17	0	0	0	0
10.7735	17	55.0925	0	2219.31	0	0	0	0
11.4072	18	35.0396	0	2170.03	0	0	0	0
12.0409	19	51.0795	0	2298.72	0	0	0	0
12.6747	20	32.0313	0	2249.11	0	0	0	0
13.3084	21	42.0539	0	2254.3	0	0	0	0
13.9421	22	33.0333	0	2169.07	0	0	0	0
14.5759	23	36.0418	1.00003	2244.37	0	0.0269973	0	0
15.2096	24	24.0205	0	2187.15	0	0	0	0
15.8433	25	29.031	0	2268.24	0	0	0	0
16.4771	26	36.0418	0	2292.16	0	0	0	0
17.1108	27	39.0465	0	2181.63	0	0	0	0
17.7445	28	28.0274	0	2169.33	0	0	0	0
18.3783	29	29.0257	0	2267.79	0	0	0	0
19.012	30	43.0592	0	2214.68	0	0	0	0
19.6457	31	37.0418	0	2205.69	0	0	0	0
20.2795	32	37.0418	0	2212.83	0	0	0	0
20.9132	33	28.024	0	2183.62	0	0	0	0
21.5469	34	34.0353	0	2180.4	0	0	0	0
22.1807	35	45.0619	0	2195.41	0	0	0	0
22.8144	36	43.0565	0	2250.14	0	0	0	0
23.4481	37	42.0539	0	2189.3	0	0	0	0
24.0819	38	38.0441	0	2240.56	0	0	0	0
24.7156	39	51.0795	0	2221.02	0	0	0	0
25.3493	40	45.0647	2.00012	2138.79	0	0.0424972	0	0
25.9831	41	54.0892	0	1960.32	0	0	0	0
26.6168	42	100.313	0	1582.89	0	0	0	0
27.2505	43	277.385	0	1121.37	13.0052	0	21.3289	21.3289
27.8843	44	720.022	2.00012	869.169	19.011	0.00277017	37.9791	37.8739
28.518	45	1869.53	4.00049	756.752	57.0994	0.00213526	32.8118	32.7418
29.1518	46	4060.67	21.0135	645.834	371.356	0.00514823	10.9913	10.9347
29.7855	47	6426.55	31.0294	413.396	1380.82	0.00480511	4.67663	4.65415
